#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
6940000   ,  [82],   XXX
6950000   ,  [82],   XXX
6960000   ,  [82],   XXX
6970000   ,  [82],   XXX
6980000   ,  [83],   XXX
6990000   ,  [83],   XXX
7000000   ,  [83],   XXX
7010000   ,  [83],   XXX
7020000   ,  [83],   XXX
7030000   ,  [83],   XXX
7040000   ,  [83],   XXX
7050000   ,  [83],   XXX
7060000   ,  [83],   XXX
7070000   ,  [83],   XXX
7080000   ,  [83],   XXX
7090000   ,  [83],   XXX
7100000   ,  [83],   XXX
7110000   ,  [83],   XXX
7120000   ,  [83],   XXX
7130000   ,  [83],   XXX
7140000   ,  [83],   XXX
7150000   ,  [84],   XXX
7160000   ,  [84],   XXX
7170000   ,  [84],   XXX
7180000   ,  [84],   XXX
7190000   ,  [84],   XXX
7200000   ,  [84],   XXX
7210000   ,  [84],   XXX
7220000   ,  [84],   XXX
7230000   ,  [84],   XXX
7240000   ,  [84],   XXX
7250000   ,  [84],   XXX
7260000   ,  [84],   XXX
7270000   ,  [84],   XXX
7280000   ,  [84],   XXX
7290000   ,  [84],   XXX
7300000   ,  [84],   XXX
7310000   ,  [84],   XXX
7320000   ,  [85],   XXX
7330000   ,  [85],   XXX
7340000   ,  [85],   XXX
7350000   ,  [85],   XXX
7360000   ,  [85],   XXX
7370000   ,  [85],   XXX
7380000   ,  [85],   XXX
7390000   ,  [85],   XXX
7400000   ,  [85],   XXX
7410000   ,  [85],   XXX
7420000   ,  [85],   XXX
7430000   ,  [85],   XXX
7440000   ,  [85],   XXX
7450000   ,  [85],   XXX
7460000   ,  [85],   XXX
7470000   ,  [85],   XXX
7480000   ,  [85],   XXX
7490000   ,  [86],   XXX
7500000   ,  [86],   XXX
7510000   ,  [86],   XXX
7520000   ,  [86],   XXX
7530000   ,  [86],   XXX
7540000   ,  [86],   XXX
7550000   ,  [86],   XXX
7560000   ,  [86],   XXX
7570000   ,  [86],   XXX
7580000   ,  [86],   XXX
7590000   ,  [86],   XXX
7600000   ,  [86],   XXX
7610000   ,  [86],   XXX
7620000   ,  [86],   XXX
7630000   ,  [86],   XXX
7640000   ,  [86],   XXX
7650000   ,  [86],   XXX
7660000   ,  [86],   XXX
7670000   ,  [87],   XXX
7680000   ,  [87],   XXX
7690000   ,  [87],   XXX
7700000   ,  [87],   XXX
7710000   ,  [87],   XXX
7720000   ,  [87],   XXX
7730000   ,  [87],   XXX
7740000   ,  [87],   XXX
7750000   ,  [87],   XXX
7760000   ,  [87],   XXX
7770000   ,  [87],   XXX
7780000   ,  [87],   XXX
7790000   ,  [87],   XXX
7800000   ,  [87],   XXX
7810000   ,  [87],   XXX
7820000   ,  [87],   XXX
7830000   ,  [87],   XXX
7840000   ,  [88],   XXX
7850000   ,  [88],   XXX
7860000   ,  [88],   XXX
7870000   ,  [88],   XXX
7880000   ,  [88],   XXX
7890000   ,  [88],   XXX
7900000   ,  [88],   XXX
7910000   ,  [88],   XXX
7920000   ,  [88],   XXX
